Institution,tMale,tFemale,Male,Female,Male.1,Female.1,Male.2,Female.2,Male.3,Female.3,Male.4,Female.4,Male.5,Female.5
"D.V.S. MAHAVIDHYALAYA,DEIPUR,AIRWA KATRA (Id: C-48907)",10,2,,,,,5,0,,,1,,,
"D.V.S. Shilpashree Degree Evening College,  #6, Sunkadakatte, Magadi Main Road, Vishwaneedum Post, Bangalore -91 (Id: C-20917)",7,1,,,1,,6,1,,,,,,
"DWARIKADHEESH  RESEARCH EDUCATION & MGMT SCHOOL,  JANTA ROAD, SAHARANPUR (Id: C-29026)",4,5,,,,,1,,,,,,,
"DWARIKA PRASAD BALAKRAM MAHAVIDHYALAYA,ACHHALDA ROAD,BIDHUNA (Id: C-48909)",7,2,,,,,2,,,,,,,1
"Dwarika Prasad Mahavidyalaya,Vijadharmau,Mungra Badashahpur, Jaunpur (Id: C-16012)",4,1,1,,,,2,1,,,,,,
"Dwarika Prasad Sinha Mahila Mahavidyalaya, Ballia (Id: C-51141)",3,7,,,,,,4,,,,,,
"DWARIKA PRASAD VIDHI MAHAVIDHYALAYA,SORAON (Id: C-48892)",6,1,,,,,1,,,,,,,
"Dwarika Prasad Yadav Mahavidyalaya,Mishramau,Sandi, Jaunpur (Id: C-15820)",2,,,,,,,,,,,,,
DWARIKA PRASHAD MAHAVIDYALA MADARI SISHWA MAUIMA ALLAHABAD (Id: C-51461),10,3,1,,,,3,,,,,1,,
"DWARIKDHEESH MAHAVIDYALAYA KURAWALI,MAINPURI (Id: C-15320)",2,1,,,,,,,,,,,,
"Dwarka College of Education, Buldana (Id: C-42967)",3,2,,1,,,2,,,,,,,
"DWARKADHISH RESEARCH EDUCATION AND MANAGEMENT SCHOOL, SAHARANPUR,SAHARANPUR (Id: C-46101)",5,3,1,,,,1,3,,,,,,
Dwijendralal College (Id: C-7070),12,5,2,1,,,1,,,1,1,1,,
"D.W.T. COLLEGE, (Id: C-12231)",,16,,,,,,2,,,,1,,
Dyal Singh College (Id: C-6432),121,158,18,14,6,3,30,16,3,2,10,6,7,4
Dyal Singh College (Evening) (Id: C-27613),42,51,6,9,2,2,11,6,1,,2,,1,2
"Dyanda Education College, Babupeth (Id: C-18845)",1,2,,,,,1,2,,,,,,
Dyandeep Mandals  St Joseph Arts & Commerce College  Satpala Rajodi Road  P O Agashi  Tal Vasai  Dist Thane  401 301 (Id: C-33564),5,17,,,,,,,,,,,5,13
"Dyandeep Shikshan Sanstha's Late. Ramchandra Dhas College of Computer Science, Ashti (Id: C-34602)",1,2,,,,,,,,,,,,
"D.Y.Patil College of Architecture,Talsande,Tal.Hatknangale,Dist.Kolhapur (Id: C-60097)",1,2,,,,,,,,,,,,1
"D. Y. Patil College of Engineering & Technology,  KASABA BAWADA (Id: C-11125)",111,47,6,2,,,8,3,,,1,1,2,1
"D Y Patil Dental School, Lohegaon (Id: C-58966)",44,47,11,5,1,1,1,,,,,,10,5
"D.Y. Patil Education Society, D.Y. Patil Technical Campus, Faculty of Engineering Talsande, (Id: C-11157)",33,14,2,1,,,11,2,,,4,1,1,1
"D. Y. Patil Education Society, D.Y. Patil  Technical campus, Faculty of Management, Talsande  , Tal. Hatkanagle (Id: C-11199)",2,3,,,,,1,1,,,,,,
"D.Y.Patil Institute of Management,Ambi, Talegaon Dabhade, Tal.Maval, Dist. Pune 410507 (Id: C-42013)",12,13,,,,,,,1,,,,,
"D.Y. Patil Pratishtans, Dr. D.Y. Patil Applied Arts & Craft College,Pune (Id: C-41733)",13,11,4,,,,1,4,,,,,2,
"D. Y. Patil Pratishthans D.Y. Patil College of Engineering ,Pune (Id: C-41513)",104,91,7,4,,,27,18,,,,,4,4
"Eagle Education Societys Unique Institute of Management, Katraj, Kondhava Rd., Pune 411046 (Id: C-41940)",6,4,,1,,,,,,,2,,,1
EARTHA-Elements of Art and Heritage Academy (Id: C-51672),1,4,1,,,,,1,,,,,,
EARTH COMPUTER AND TECHNOLOGIES (Id: C-54069),3,2,,,,,3,2,,,,,,
Easa College of Engineering & Technology (Id: C-36991),88,65,,,,,72,58,,,8,2,8,6
"Eashwaramma Shikshak Prashkshan Mahavi., Jaipur (Id: C-38533)",,15,,,,1,,2,,,,,,
"Eashwaribai Memorial College of Nursing, Secunderabad (Id: C-30532)",11,30,3,4,2,,5,9,,,,,1,21
East Calcutta Girls College (Id: C-43357),16,26,6,2,,1,1,1,,,,,,
"Eastern Academy of Science and Technology (EAST), Phulnakhara (Id: C-30074)",31,17,,,1,,,,,,,,,
Eastern Christian College (Id: C-16720),15,15,1,,12,15,,,,,,,13,15
EASTERN DOOARS B.Ed. TRAINING COLLEGE (Id: C-57134),30,7,10,1,,,8,2,1,,1,1,,
EASTERN INSTITUTE FOR INTEGRATED LEARNING IN MANAGEMENT (Id: C-48349),12,17,,1,,,,,,,,,,
Eastern Institute for Integrated Learning in Management 183 (Id: C-6132),7,9,,1,,,,,,,,,,
Eastern K.Anglong College (Id: C-26405),21,11,1,1,4,3,14,7,,,,,1,1
"East  N West Teachers Training College, Patuaha, (Id: C-55079)",29,3,,,,,10,,,,3,,,
"East Point College of Engg., & Tech., BANGALORE (Id: C-1383)",54,65,4,1,2,1,19,24,,,1,1,1,4
"East Point College of Mangement, #2, 80ft Road, HRBR Layout, Kalayanagar, Bangalore  43 (Id: C-20788)",6,14,,1,1,,5,11,,,,1,1,1
East Point College of Medical Sciences and Research Centre (Id: C-58424),18,27,1,1,,,2,4,,,1,1,2,2
East Point College of Nursing (Id: C-56651),4,22,,1,,,2,2,,,,,2,15
East Point College of Pharmacy (Id: C-40374),11,19,,,,1,1,3,,,2,,,3
EAST POINT COLLEGE OF PHYSIOTHERAPY  (Id: C-60445),6,6,,,,,1,,,,1,1,,1
"East West College of  Management, Viswaneedum Post, Magadi Mn Road, Bangalore-91 (Id: C-21155)",14,20,1,,,1,8,8,,,,2,,
East west College of Nursing (Id: C-40271),14,23,,,,,,,,,,,9,11
East West College of Pharmacy (Id: C-40469),16,30,,,,,12,20,,,,1,,
"East West First Grade College of Science, Viswaneedum Post, Magadi Mn Road, Bangalore-91 (Id: C-20909)",11,4,1,1,,,5,2,,,,,1,
"East West Institute of Technology, BANGALORE (Id: C-1356)",122,117,3,3,1,,32,29,,,,,1,
"EAST WEST MODEL EDUCATION INSTITUTE, BURDWAN (Id: C-49454)",10,7,1,,,,,,,,,,,
Easwari Engineering College (Id: C-16560),113,144,4,10,,1,92,103,,,,2,8,23
"Ebenezer College, #44, Railway Gate, Horamavu, Banaswadi, Bangalore-560 043(10-11) (Id: C-20929)",2,6,,,,,,2,,,,1,2,1
Eben Ezer College of Nursing (Id: C-40352),2,18,,,,1,,,,,,,1,17
"E.B. Gadkari Homoeopathy College, Gadhinglaj (Id: C-13850)",36,11,3,,1,,3,,,,,,2,1
"ECR Institute of Management Studies, Kota ,Udupi (Id: C-51551)",3,14,1,1,,,2,13,,,,1,,1
EDAVANTA DEGREE COLLEGE (Hayathnagar) (Id: C-49894),7,10,,,,,3,3,,,,1,,
"Edayathangudy G.S. Pillay Arts & Science College, Nagapattinam - 611 002 (Id: C-35847)",66,109,23,14,,,40,92,,,3,,7,6
"EDAYATHANGUDY G.S.PILLAY COLLEGE OF PHARMACY (Inst. Code - 127),  NAGAPATTINAM (Id: C-45649)",26,13,2,2,,,24,11,,,3,,1,1
Edayathangudy G.S.Pillay Engineering College (Id: C-24989),107,57,2,2,,,105,55,,,4,,6,1
Eden Gardens College of Education (Id: C-14650),8,2,3,,,,4,2,,,,1,,1
EDGE International Business School (Id: C-56628),7,3,1,,,,3,2,,,,,,
"EDITWORKS SCHOOL OF MASS COMMUNICATION,NOIDA (DELHI NCR) (Id: C-31207)",4,1,,,,,,,,,,,,
"EDUCARE INSTITUTE OF DENTAL SCIENCES, CHATTIPARAMBA (Id: C-8047)",34,24,,,,,10,8,,,10,6,13,7
"Educational Uplift Society'S Husna Abdul Malik Madu Women College of Arts, Science & Commerce, Gafoor Don Chowk, Ghass Bazar,  Kalyan, Dist: Thane.- 421 301 (Id: C-33731)",3,11,,,,,,,,,2,7,,
Education Board Mulunds Jai Bharat  College of Commerce  Night  Mulund Colony Mulund W Mumbai  400 082 (Id: C-34219),2,5,,1,,,,,,,,,,
Education College (Id: C-7090),26,7,2,,,,13,2,,,20,2,,
"Education College, Arvi Road (Id: C-18170)",1,5,,1,,,1,,,,,,,1
"Education College, Katol (Id: C-18177)",1,2,,,,,1,2,,,,,,
EDUCATION COLLEGE LADOL (Id: C-6698),5,6,1,2,,,1,1,,,,,,
"EDUCATION COLLEGE,,SIDHI (Id: C-31822)",7,5,1,,,,1,,,,,,,
"Education Maharshi Krishnarao Zoting Patil Arts Commerce College, Samudrapur (Id: C-18663)",9,1,1,,,,2,1,,,,,,
EDUCITY COLLEGE OF EDUCATION (Id: C-58383),17,4,5,2,,,8,,,,8,,,
Edugate Teachers Training Institute (Id: C-56165),15,7,2,1,,,1,2,,,1,,,
"Edurite College of Administration & Management Studies, Shimoga. (Id: C-17821)",11,10,1,3,,,,2,1,,,,1,
Egra Sarada Sashi Bhusan College (Id: C-19107),57,20,3,,2,,7,2,2,,,2,,
E.G.S.PILLAY COLLEGE OF EDUCATION (Id: C-59402),7,7,1,3,,,6,4,1,,,,1,1
Ehiapur B. Ed. College (Id: C-44704),5,1,,,,,2,,,,1,,,
"Einstein Academy of Technology and Management (EATM), Bhubaneswar (Id: C-30041)",90,32,7,1,,,1,1,,,4,,,
EINSTEIN COLLEGE OF ARTS AND SCIENCE (Id: C-58208),12,17,1,,,,9,15,,,1,1,2,3
Einstein College of Engineering (Id: C-27050),62,50,5,2,,,52,45,,,3,3,12,9
"Ekalabya P.S.College,Kansar (Id: C-40904)",3,2,,,,1,3,1,,,,,,
"EKALAVYA DEGREE COLLEGE, JAM, SARANGAPUR (Id: C-50277)",10,3,1,2,1,,8,1,,,2,1,,
"Ekalavya Institute of Technology,  CHAMARAJANAGAR (Id: C-1230)",16,19,4,7,4,7,7,3,,,,,1,
"EKALAVYA MAHAVIDYALAYA, DUREDI ROAD (Id: C-22502)",41,18,3,3,,,17,4,,,2,3,,
"Ekarma College,BBSR (Id: C-39558)",17,19,1,,,,,,,,,,,
"Ekashila College of Education, Hyderabad Road, Jangaon (Id: C-27514)",7,1,,,,,4,1,,,,,,
"Ekashila Degree College, Jangaon  506 167 (Id: C-27281)",16,7,3,1,,,9,2,,,,1,,
"Ekashila Degree College, Mamada (V&M) (Id: C-52557)",11,1,3,,1,,5,,,,,,,
Eklavya College (Id: C-56214),9,3,,,,,2,,,,,,,
Eklavya College of Education (Id: C-57570),1,,,,,,1,,,,,,,
"EKLAVYA DENTAL COLLEGE AND HOSPITAL, JAIPUR (Id: C-47097)",57,20,1,2,,,16,1,,,,,,
"Eklavya Mahavidhyalaya, Beebanva Road,Devpura, Bundi (Id: C-19358)",3,8,,,,,2,1,,,,2,,
"Eklavya Mahavidhyalaya, Indrajit Vila, Civil Line, Jhalawar (Id: C-19374)",9,2,,,,,7,,,,2,,,
"EKLAVYA MAHAVIDYALAYA, JHUMIA, BAHRAICH (Id: C-42275)",9,3,1,,,,2,1,,,1,2,,
"Eklavya Study Center, Nandurbar (Id: C-8952)",2,,,,,,,,,,,,,
Eklavya Teachers Training College (Id: C-13205),25,6,1,1,,,9,2,,,,1,,
"Eklavya Vidhyapith Mahavidyalya, Bhadra (Id: C-40778)",7,6,,,,,7,6,,,1,,,
"E.K. Nayanar Memorial Govt. College, Elerithattu. Nileshwar (Id: C-43778)",11,15,1,,,,3,8,,,1,2,2,6
"EK ONKAR SCHOLARS DEGREE COLLEGE, SHAHABAZNAGAR ( SHAHJAHANPUR ) (Id: C-49786)",6,2,1,,,,3,,,,,,1,1
EKTA B.Sc. NURSING COLLEGE (Id: C-55962),1,11,,2,1,4,,4,,,,2,,
EKTA COLLEGE OF EDUCATION (Id: C-6637),2,6,1,1,,2,1,2,,,,,,
EKTA INSTITUTE (Id: C-54155),1,1,,,,,,,,,,,,
"Ekta Mahavidyalaya, Sikar (Id: C-38928)",11,1,5,,1,,3,1,,,1,,,
"Ekta Shikshan Prasarak Mandal Sanchalit Arts, Commerce & Science College, Pipeline Road, Savedi, Ahmednagar (Id: C-50615)",6,12,1,4,,1,1,2,,,1,,,
"Ekta Shikshan Prasarak Mandal's College of Arts, Bidkin, Paithan. (Id: C-34585)",9,2,1,1,,1,,,,,5,,,
"EKTA TRUST SANCHALIT BCA COLLEGE, NAVIMETRAL (Id: C-45120)",3,1,,,,,2,1,,,,,,
ELAM CHAND SAINI COLLEGE FOR GIRLS (Id: C-56343),2,3,,,,,1,1,,,,,,
El-Bethel College (for B.Ed) (Id: C-11910),2,8,,,,,2,1,,,,,,
"ELDHO MOR BASELIOS COLLEGE,MEENANGADI (Id: C-55762)",1,15,,,,,,3,,,,2,1,8
"Elegent College, Motinath Mandir Campus, Bharkapara, Rajnandgaon (Id: C-21649)",4,1,,,,,,,,,,,1,
"ELENA MAHAVIDYALAYA, BAHARPUR LAHAUTA, SEMRI, SULTANPUR (Id: C-42264)",8,4,1,,,,1,1,,,,,,
Elias Chowdhury Academy (Id: C-57206),24,2,,,,,,,,,19,1,,
"Eliezer Joldan Memorial College Leh, Ladakh (Id: C-21451)",3,19,0,,3,19,,,,,,4,3,15
ELIGMA INSTITUTE OF MANAGEMENT OF SCIENCE (Id: C-54709),3,2,1,,,,1,1,,,,,,
ELIJAH INSTITUTE OF MANAGEMENT STUDIES (Id: C-57268),5,3,,,,,,1,,,,,4,3
Elim College of Education  (Id: C-55028),10,1,1,,,,2,,,,,,,
ELIMS COLLEGE OF ARTS AND SCIENCE (Id: C-51782),5,14,,,,,2,5,,,,,2,8
ELIMS COLLEGE OF PHARMACY (Id: C-55797),1,11,,,,,,2,,,,,1,3
Elite B. Ed. College (Id: C-44696),9,6,,,,,,,,,1,,,
"Elite college of Computer Application, Commerce and Management Studies, Saoner (Id: C-18584)",,3,,1,,,,2,,,,,,
ELITE COLLEGE OF NURSING (Id: C-55355),2,18,,,,,,2,,,,,2,10
"ELITE COLLEGE OF PROFESSIONAL & STUDIES NH-58, DADRI, MEERUT (Id: C-28792)",7,11,2,,,,1,7,,,,,,
"Elite Institute of Science, Technology and Management (Id: C-58326)",5,2,,,,,,,,,,,,
ELITE PUBLIC B.Ed. COLLEGE (Id: C-49201),14,2,1,,1,,5,1,,,,,1,
Elitte College of Engineering 346 (Id: C-52868),45,9,1,,,,,,,,,,,
"Elizabeth College of Arts & Science, Annamangalam (Po), Vepanthattai (Tk.) Perambalur - 620 102. (Id: C-35786)",5,3,4,3,,,1,0,,,,,1,0
Elizabeth College of Education (Id: C-14804),7,1,4,,,,,,,,,,,
ELIZABETH COLLEGE OF ENGINEERING TECHNOLOGY (Id: C-49139),33,18,8,4,1,1,24,13,,,,,7,8
"ELLEN COLLEGE OF NURSING (Inst. Code - 232), COIMBATORE (Id: C-45545)",7,28,,,,,,,,,,,2,9
Ellenki College of Engineering and Technology (Id: C-19518),72,43,,5,,,2,5,,,5,4,8,9
Ellenki Degree College (Narsapur) (Id: C-26092),20,4,1,,,,19,4,,,,,,
Ellenki Degree College (Sangareddy) (Id: C-26077),23,15,3,1,,,15,9,,,1,1,,
Ellenki Institute  of Engineering and Technology (Id: C-19782),58,32,3,2,,,10,3,,,,,,
Elphinstone College Fort Mumbai 400 032 (Id: C-33615),23,21,4,1,2,,10,3,2,,1,3,,1
"Emarti Devi Women’s College,Nayasark,Ctc. (Id: C-39587)",3,25,,1,,,,1,,,1,1,,
E-Max College  of Education (Id: C-10696),4,2,3,,,,,,,,,,,
E Max Group of Institutions (Id: C-51527),47,48,,,,,2,3,,,,,3,6
"EMEA ARTS & SCIENCE COLLEGE, KONDOTTY (Id: C-8191)",42,33,1,2,,,35,26,,,35,22,2,2
"EMEA TRAINING COLLEGE, KONDOTTY (Id: C-8182)",5,6,1,,,,2,4,,,1,2,,
"Emeralads Advanced Institute of Management Studies, Durgasamudaram, Tirupati (Id: C-27748)",23,10,,,1,,6,1,,,,1,3,
Emerald Heights College (Id: C-41043),1,36,,6,,,,,,,,1,,6
"Emeralds Degree College, Tirupati Urban (Id: C-27814)",19,5,,1,,,5,,,,,,,
E.M.G. YADAVA WOMEN'S COLLEGE (Id: C-36514),,144,,8,,,,132,,1,,4,,7
"Eminent Academic Girls College, Diggi Malpura (Id: C-13234)",4,3,,,1,,1,2,,,,,,
Eminent College of Management and Technology 348 (Id: C-52647),9,5,,,,,,,,,1,,,
Eminent College of Pharmaceutical Technology 354 (Id: C-60530),7,3,,,,,1,,,,,,,
EMINENT GIRLS COLLEGE (Id: C-55873),5,3,1,,,,,2,,,,,,
"Eminent T.T. Girls College, Diggi Malpura (Id: C-13133)",8,13,1,,,,2,2,,,,,,
"Emmanuel College of B.Ed. Training, Vazhichal, Kudappanamoodu P.O. (Id: C-43661)",2,7,1,1,,,,3,,,,,,3
Emmanuel College of Education (Id: C-24271),8,2,1,,,,5,1,,,,,1,1
EMMANUEL COLLEGE OF PHARMACY (Id: C-55321),10,13,,2,,,,,,,,1,2,1
"Emmanuel College, Vazhichal (Id: C-43690)",22,44,,1,,,18,35,,,,,16,28
"Emmenual Degree College, Tamavaram (Id: C-24179)",7,3,1,2,,,5,1,,,,,,
"EMMI INSTITUTE OF HOTEL MANAGEMENT , PHIRANGIPURAM (Id: C-49178)",,1,,,,,,,,,,,,
"Empire Education Societys Indira Institute of Aircraft Engineering,  (Id: C-60093)",8,2,,,,,,,,,,,,
EMPLOYEES STATE INSURANCE CORPORATION COLLEGE OF NURSING  GULBARGA (Id: C-56942),3,8,1,1,,,1,2,,,,,1,6
"EMS Memorial College of Applied Science , Vallithode, Iritty, Kannur (Id: C-43792)",2,12,,,,,1,4,,,,1,,2
"Enathi Rajappa College of Arts & Science, Enathi Post, Pattukkottai - 614 615. (Id: C-35771)",6,25,1,1,,,5,24,,,,,1,
E-@NET COMPUTERS PANDHURNA (Id: C-31227),1,2,,1,,,1,1,,,,,,
"ENGGINERING COLLEGE, TUWA, GODHARA 055  (Id: C-181)",27,5,,,,,11,,,,9,,,
"Engineering College,Bikaner (Id: C-25171)",6,,,,,,2,,1,,,,1,
ENGINEERING COLLEGE DHOLPUR (Id: C-57973),5,1,,,,,,,,,,,,
ENGINEERING COLLEGE KARAULI (Id: C-57974),6,,,,,,,,,,,,,
"ENGINEERING COLLEGE, TUWA DIPLOMA SECOND SHIFT - 958 (Id: C-48517)",10,3,,,,,1,1,,,,,,
"Engineer Rahul Mirdha Memorial Mahavidyalaya, Junjala, Jayal (Id: C-58203)",17,1,,,1,,8,,,,,,,
English Language Teaching Institute of SYMBIOSIS (Id: C-19346),9,48,,1,,1,1,2,,,,,,9
"ENRICH CHRISTIAN COLLEGE OF EDUCAITON, MARRIGUDA (Id: C-33126)",13,1,1,,,,7,1,,,2,,,
ERAM COLLEGE (Id: C-52657),3,1,,,,,2,1,,,1,,,
ERAM COLLEGE KURSI ROAD GUDAMBA (Id: C-61136),9,8,,,,,7,1,,,3,2,,
"ERAM COLLEGE, MELARIGANJ, BARABANKI (Id: C-42390)",15,8,4,,,,2,1,,,2,2,,
"ERAM GIRLS, DEGREE COLLEGE, INDIRA NAGAR (Id: C-12799)",1,1,,,,,1,,,,,,,
"ERANAD KNOWLEDGE CITY COLLEGE OF ARCHITECTURE, CHERUKULAM, MANJERI (Id: C-51539)",15,10,,,,,9,8,,,9,5,2,0
"ERA'S COLLEGE OF MANAGEMENT, HARDOI ROAD (Id: C-12812)",5,5,1,3,,,2,,,,,1,,
ER & DCI Institute of Technology (Id: C-9458),10,8,1,,,,5,4,,,2,,2,3
Erigineni Tirupati Naidu & Lakshmamma Degree College (Id: C-32786),11,1,,,1,,5,1,,,3,,,
ERK College of Arts & Science (Id: C-9519),14,13,1,3,,,13,10,,,,1,,
ERK College of Education (Id: C-14892),8,10,,1,,,8,9,1,,,1,,
Erode Arts and Science College (Id: C-41128),87,92,20,12,,,67,75,,,1,2,1,8
Erode Builder Educational Trust's Group of Institutions (Id: C-37104),92,47,5,3,,,1,1,,,,,3,3
Erode Christian College of Arts and Science for Women (Id: C-41067),8,7,2,1,,,6,6,,,,,6,5
Erode Sengunthar Engineering College (Id: C-37099),119,69,6,1,,,112,68,1,,1,,1,
Er. Perumal Manimekalai College of Engineering (Id: C-37033),86,69,13,5,,,67,59,,,4,,5,9
"Er. Radheshyam Smarak Mahavidyalaya,Sarya Safe.Sanjarpur, Azamgarh (Id: C-16029)",1,,,,,,,,,,,,,
E.S. College of Education (Id: C-14978),,1,,,,,,,,,,,,
E.S. College of Engineering and Technology (Id: C-16565),64,26,4,4,,,59,22,,,1,,2,1
"E S COLLEGE OF NURSING (Inst. Code - 307), VILLUPURAM (Id: C-45733)",12,67,2,6,,,9,60,,,,2,2,2
"ESHAN COLLEGE OF ENGINEERING, AGRA-MATHURA HIGHWAY, MATHURA (Id: C-46291)",92,21,2,,,,12,5,,,1,1,,
"ESIC College of Nursing, Bangalore (Id: C-53596)",8,5,,,,,2,2,,,,,,2
ESIC Dental College (Id: C-32907),24,41,3,5,2,,3,8,1,,,1,1,
"ESIC DENTAL COLLEGE, GULBARGA (Id: C-59392)",15,9,1,2,1,1,5,2,,,3,1,,
ESIC Medical College (Id: C-58477),50,44,11,6,5,1,14,15,2,1,3,,4,3
ESIC MEDICAL COLLEGE AND HOSPITAL (Id: C-56398),39,52,3,2,,2,2,2,,,1,1,1,5
"ESIC MEDICAL COLLEGE AND HOSPITAL, SEDAM ROAD GULBARGA (Id: C-56937)",102,51,19,14,3,1,39,22,,,25,13,2,1
"E S I, Joka (Id: C-16426)",1,1,,,,,,,,,,,,
"ESI MEDICAL COLLEGE & ESI-PGIMSR (Inst. Code - 495), CHENNAI (Id: C-45507)",56,60,15,13,1,2,26,20,2,,,,1,2
"ESI PGIMSR, ESI HOSPITAL, WEST DELHI (Id: C-46310)",36,27,6,,,,1,1,,,1,,3,1
"ESI-PGIMSR, Model Hospital, Central Road, MIDC, Andheri (E), Mumbai- 400 093 (Id: C-14012)",8,18,4,5,,1,,2,,,,,3,1
Eskam Computer Education (Id: C-53705),4,1,,,,,1,,,,,,,
Esplanade Education Societys Niranjana Majithia College of Commerce Bohra Colony M G Road Kandivli  W Mumbai (Id: C-33797),6,15,1,1,,,1,,,,1,,1,1
"ESS Degree College, Venkatagiri (Id: C-24747)",8,6,1,,,,4,1,,,,,,1
"ESS.ESS COLLEGE OF EDUCATION, DAYALBAGH, AGRA (Id: C-15475)",1,4,1,,,,,,,,,,,
ES SUBRAMANIAM MEMORIAL COLLEGE OF ARTS AND SCIENCE (Id: C-43908),29,13,9,,,,20,13,,,,1,,
E.S.Subramaniam Memorial College of Education (Id: C-14487),13,3,1,1,,,12,1,,,,,,
Esther College of Education (Id: C-14992),8,4,3,4,,,5,,,,,,,
"Eswar College of Engineering, Kesanupalli(V),  Narasaraopet , PIN-522 601(CC-JE) (Id: C-18149)",124,36,19,10,5,,39,12,,,25,5,3,2
E T C M College of Nursing (Id: C-40312),7,17,,1,,,7,16,,,,,3,12
ETHAMES DEGREE COLLEGE (PANJAGUTTA) (Id: C-49892),9,12,,,,,,,,,3,3,,
ETHIRAJ COLLEGE FOR WOMEN (Id: C-43902),,277,,31,,1,,184,,,,7,,49
"Ettumanoorappan College, Ettumanoor - 686 631 (Id: C-11788)",15,55,,1,,,3,17,,,,,2,7
"EUPHRASIA TRAINING COLLEGE, IRINJALAKKUDA (Id: C-8242)",1,7,,1,,,,,,,,,,2
EUREKA INSTITUTE OF COMPUTER & TECHNOLOGY BHOPAL (Id: C-31398),3,1,,1,,,1,,,,,,,
 EVA COLLEGE OF AYURVEDA (Id: C-56033),19,8,,1,,,1,,,,1,,,
"Evangeline Booth College of Nursing, Ponnur (Id: C-30642)",3,19,1,13,,,2,5,,,,,1,3
"Evening College, Saharsa (Id: C-29626)",20,10,,1,,,9,5,,,2,,,
Evening Commerce College (Id: C-473),4,9,,2,,,,0,,,,1,1,3
Everest Educational Society's Group of Institutions (Id: C-34489),36,4,1,1,,,1,,,,21,3,,
"EVERSHINE PGDCA STUDY CENTER, AMARGADH (Id: C-58711)",1,,,,,,,,,,,,,
"EV REDDY MEMORIAL DEGREE COLLEGE, KODAD (Id: C-33181)",19,3,3,1,,,,,1,,,,,
EXALT COLLEGE OF EDUCATION (Id: C-61209),14,2,,,,,10,,1,,1,,,
Exalt College of Engineering & Technology (Id: C-49580),18,,,,,,10,,,,3,,,
"Excdellence Girls Education College, Sikar (Id: C-38584)",3,12,1,,,,1,5,,,,1,,
Excel Business School (Id: C-37019),27,7,2,,,,25,7,,,1,,1,
EXCEL COLLEGE FOR COMMERCE AND SCIENCE (Id: C-60245),10,4,1,,,,8,4,,,,,1,
Excel College of Architecture and Planning (Id: C-36963),45,21,,,,,,,,,1,1,0,0
Excel College of Education (Id: C-14979),16,13,2,1,,,14,12,,,1,,,
Excel College of Engineering & Technology (Id: C-37073),100,19,,3,,,1,,,,2,,,2
EXCEL COLLEGE OF PHARMACY (Id: C-58413),11,3,1,,,1,8,1,,,2,,,
EXCEL COMPUTER CENTRE (Id: C-54133),4,3,1,2,,,3,1,,,,,,
Excel Engineering College (Id: C-36930),133,45,1,1,1,,131,44,,,1,1,2,1
EXCEL INSTITUTE OF COMPUTER SCIENCE EICS ACADEMY (Id: C-59167),4,,,,,,3,,,,1,,,
EXCEL INSTITUTE OF COMPUTERS HOSHANGABAD (Id: C-31186),2,1,,,,,2,1,,,,,,
"Excel Institute of Diploma Studies,Kalol 613  (Id: C-297)",13,4,3,,1,,2,2,,,,,,
"Excellence Institute of Higher Education, Jewri (Id: C-53207)",17,15,3,3,,,11,7,,,,,,
"Excellence Kanya Mahavi., Sikar (Id: C-38553)",,14,,1,,,,10,,,,3,,
"EXCELLENT COLLEGE DOIFODIA, BURHANPUR (Id: C-52128)",5,,,,,,5,,,,,,,
"Excellent Degree College, Cherial (V&M) (Id: C-52541)",14,3,2,,,,7,1,,,,,,
"EXCELLENT DEGREE COLLEGE FATEHPUR SIKARI ROAD,AGRA (Id: C-15420)",4,4,,,,,3,,,,,,,
"EXCELLENT DEGREE COLLEGE, SIRUGUPPA (Id: C-58369)",8,2,4,1,,,4,1,,,,1,,
"EXCELLENT LAW COLLEGE NAYAGAON BORABAS RAWATBHATA ROAD, KOTA (Id: C-46365)",3,2,2,,,1,,,,,,,,
EXCELLENT MODEL COLLEGE FOR TEACHER EDUCATION (Id: C-52650),12,4,,,,,,,,,,,,
Excelsior Education Societys K B College of Arts  Commerce and S C College of Science for Women Mithbundar Road Near Indian Hume   Pipe Factory  Thane East  Thane 400 603 (Id: C-34098),8,21,2,4,,,,,,,,1,,1
Excelsior Education Societys K  C  College of Engineering Mith Bunder Road Kopri Thane (E)  400 603 (Id: C-34221),20,48,1,,,,,,,,2,2,2,
"EXECELLENCE COLLEGE OF SCIECNE AND MANAGEMENT, (Id: C-34928)",7,2,,,,,4,,,,,,,
EXON MONTESSORI GIRLS DEGREE COLLEGE (Id: C-54312),6,8,,,,,1,2,,,,2,,
EXPERIMENTAL COLLEGE OF EDUCATION (Id: C-6849),6,9,,3,,1,,1,,,,1,,
EXPERIMENTAL COLLEGE OF EDUCATION(MED) (Id: C-6791),9,6,1,,,,,,,,,,,
"EXTER COLLEGE OF SCIENCES, ERANAD KNOWLEDGE CITY, MANJERI (Id: C-48448)",9,15,1,,,,6,9,,,2,5,,
"Extol College, Bawariya Kalan, Bhopal (Id: C-35332)",2,13,,,,,,,,,,,,
EXTOL FACULTY OF COMPUTER SCIENCES BHOPAL (Id: C-31510),,4,,,,,,,,,,,,
EXTOL INSTITUTE OF COMPUTER APPLICATION BHOPAL (Id: C-31436),,5,,,,,,,,,,,,1
